UNITID,year,INSTNM,Secondary school GPA,Secondary school rank,Secondary school record,Completion of college-preparatory program,Recommendations,Formal demonstration of competencies,Admission test scores,TOEFL (Test of English as a Foreign Language,"Other Test (Wonderlic, WISC-III, etc.)  ",APPLCN,APPLCNM,APPLCNW,ADMSSN,ADMSSNM,ADMSSNW,ENRLT,ENRLM,ENRLW,ENRLFT,ENRLFTM,ENRLFTW,ENRLPT,ENRLPTM,ENRLPTW,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,percAdm,percAdmMen,percAdmWom,LOCALE,ADDR,CITY,STABBR,ZIP,GROFFER,HDEGOFR1,CARNEGIE,CCBASIC,INSTSIZE,C15BASIC,C18BASIC,C21IPUG,C21IPGRD,C21UGPRF,C21ENPRF,C21SZSET,C21BASIC,English Proficiency Test,Work experience,Personal statement or essay,Legacy status,APPLCNAN,APPLCNUN,ADMSSNAN,ADMSSNUN,ENRLAN,ENRLUN,ENRLFTAN,ENRLFTUN,ENRLPTAN,ENRLPTUN,SATVR50,SATMT50,ACTCM50,ACTEN50,ACTMT50
110635.0,2014,University of California-Berkeley,Required,Neither required nor recommended,Required,Required,Neither required nor recommended,Neither required nor recommended,Required,Recommended,Neither required nor recommended,73782,37051.0,36731.0,11820.0,5412.0,6408.0,5467.0,2541.0,2925.0,5432.0,2525.0,2906.0,35.0,16.0,19.0,4749.0,87.0,2502.0,46.0,600.0,730.0,640.0,770.0,620.0,750.0,29.0,34.0,29.0,35.0,28.0,34.0,,,16.0,15.0,17.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",,,,,,,,,,,,,,,,,,,,,,,,,,,
110635.0,2015,University of California-Berkeley,Required,Neither required nor recommended,Required,Required,Neither required nor recommended,Neither required nor recommended,Required,Recommended,Neither required nor recommended,78893,39443.0,39450.0,13320.0,6082.0,7238.0,5550.0,2671.0,2879.0,5510.0,2655.0,2855.0,40.0,16.0,24.0,4570.0,82.0,2807.0,50.0,610.0,740.0,640.0,770.0,630.0,760.0,30.0,34.0,31.0,35.0,29.0,35.0,,,17.0,15.0,18.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,,,,,,,,,,,,,,,,,,,,,,,,,,
110635.0,2016,University of California-Berkeley,Required,Neither required nor recommended,Required,Required,Neither required nor recommended,Neither required nor recommended,Required,Recommended,Neither required nor recommended,82561,41046.0,41515.0,13975.0,6209.0,7766.0,6182.0,2997.0,3185.0,6130.0,2978.0,3152.0,52.0,19.0,33.0,4845.0,78.0,3466.0,56.0,620.0,750.0,650.0,790.0,,,31.0,34.0,31.0,35.0,29.0,35.0,,,17.0,15.0,19.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,,,,,,,,,,,,,,,,,,,,,,,,,,
110635.0,2017,University of California-Berkeley,Required,Neither required nor recommended,Required,Required,Considered but not required,Neither required nor recommended,Required,Recommended,Neither required nor recommended,85044,41597.0,43447.0,14549.0,6324.0,8225.0,6379.0,2957.0,3422.0,6344.0,2939.0,3405.0,35.0,18.0,17.0,4674.0,73.0,3713.0,58.0,630.0,720.0,630.0,760.0,,,30.0,34.0,29.0,35.0,28.0,35.0,,,17.0,15.0,19.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,,,,,,,,,,,,,,,,,,,,,,,,,,
110635.0,2018,University of California-Berkeley,Required,Neither required nor recommended,Required,Required,Considered but not required,Neither required nor recommended,Required,Recommended,Neither required nor recommended,89607,43552.0,46055.0,13301.0,5585.0,7716.0,6012.0,2662.0,3350.0,5980.0,2647.0,3333.0,32.0,15.0,17.0,4755.0,79.0,2976.0,50.0,650.0,740.0,670.0,790.0,,,31.0,35.0,29.0,35.0,28.0,35.0,,,15.0,13.0,17.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,"Doctoral Universities: Very High Research Activity
",,,,,,,,,,,,,,,,,,,,,,,,,
110635.0,2019,University of California-Berkeley,Required,Neither required nor recommended,Required,Required,Considered but not required,Neither required nor recommended,Required,Recommended,Neither required nor recommended,87847,42497.0,44900.0,14278.0,6019.0,8259.0,6455.0,2897.0,3558.0,6423.0,2888.0,3535.0,32.0,9.0,23.0,5272.0,82.0,2703.0,42.0,650.0,740.0,680.0,790.0,,,31.0,35.0,29.0,35.0,28.0,35.0,,,16.0,14.0,18.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,"Doctoral Universities: Very High Research Activity
",,,,,,,,,,,,,,,,,,,,,,,,,
110635.0,2020,University of California-Berkeley,Required,Neither required nor recommended,Required,Neither required nor recommended,Considered but not required,Neither required nor recommended,Required,Required,Considered but not required,88062,42794.0,45268.0,15390.0,6574.0,8816.0,6117.0,2852.0,3265.0,6072.0,2830.0,3242.0,45.0,22.0,23.0,5032.0,82.0,2482.0,41.0,650.0,740.0,660.0,790.0,,,30.0,35.0,27.0,35.0,27.0,34.0,,,17.0,15.0,19.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,"Doctoral Universities: Very High Research Activity
",,,,,,,,,,,,,,,,,,,,,,,,,
110635.0,2021,University of California-Berkeley,Required,Neither required nor recommended,Required,Neither required nor recommended,Considered but not required,Neither required nor recommended,Neither required nor recommended,Required,Neither required nor recommended,112843,53561.0,59282.0,16295.0,6325.0,9970.0,6931.0,2956.0,3975.0,6892.0,2941.0,3951.0,39.0,15.0,24.0,,,,,,,,,,,,,,,,,,,14.0,12.0,17.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,"Doctoral Universities: Very High Research Activity
","Arts & sciences plus professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Four-year, full-time, more selective, higher transfer-in",Majority undergraduate,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity
",,,,,,,,,,,,,,,,,,,
110635.0,2022,University of California-Berkeley,Required to be considered for admission,"Not considered for admission, even if submitted",Required to be considered for admission,"Not required for admission, but considered if submitted","Not required for admission, but considered if submitted","Not considered for admission, even if submitted","Not considered for admission, even if submitted (Test Blind)",,"Not considered for admission, even if submitted (Test Blind)",128209,61188.0,67021.0,14523.0,5357.0,9166.0,6728.0,2701.0,4027.0,6681.0,2681.0,4000.0,47.0,20.0,27.0,,,,,,,,,,,,,,,,,,,11.0,9.0,14.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,"Doctoral Universities: Very High Research Activity
","Arts & sciences plus professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Four-year, full-time, more selective, higher transfer-in",Majority undergraduate,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity
",Required to be considered for admission,"Not required for admission, but considered if submitted",Required to be considered for admission,"Not considered for admission, even if submitted",,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
110635.0,2023,University of California-Berkeley,Required to be considered for admission,"Not considered for admission, even if submitted",Required to be considered for admission,"Not required for admission, but considered if submitted","Not required for admission, but considered if submitted","Not considered for admission, even if submitted","Not considered for admission, even if submitted (Test Blind)",,"Not considered for admission, even if submitted (Test Blind)",125910,60232.0,65678.0,14677.0,5546.0,9131.0,6641.0,2733.0,3908.0,6604.0,2723.0,3881.0,37.0,10.0,27.0,,,,,,,,,,,,,,,,,,,12.0,9.0,14.0,City: Midsize,200 California Hall,Berkeley,CA,94720,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Doctoral/Research Universities--Extensive,Research Universities (very high research activity),"20,000 and above",Doctoral Universities: Highest Research Activity,"Doctoral Universities: Very High Research Activity
","Arts & sciences plus professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Four-year, full-time, more selective, higher transfer-in",Majority undergraduate,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity
",Required to be considered for admission,"Not required for admission, but considered if submitted",Required to be considered for admission,"Not considered for admission, even if submitted",,,,,,,,,,,,,,,
